,year,mytoday,city,nowTemp,sensTemp,humidity,precipitation
0,2019년,1,강릉,22.3,21.8,41,0.0
1,2019년,1,광주,19.3,19.5,48,0.0
2,2019년,1,대구,21.1,20.8,43,0.0
3,2019년,1,대전,20.4,20.9,53,0.0
4,2019년,1,백령도,12.9,15.0,76,0.0
5,2019년,1,부산,19.6,20.7,61,0.0
6,2019년,1,서울,20.0,20.0,46,0.0
7,2019년,1,울릉도,14.5,17.1,85,0.0
8,2019년,1,전주,17.9,18.9,59,0.0
9,2019년,1,제주,17.0,17.8,56,0.0
10,2019년,1,청주,20.8,20.9,48,0.0
11,2019년,1,춘천,21.6,21.2,42,0.0
12,2019년,2,강릉,21.1,20.0,33,0.0
13,2019년,2,광주,20.9,20.5,42,0.0
14,2019년,2,대구,22.6,20.6,25,0.0
15,2019년,2,대전,20.5,20.0,40,0.0
16,2019년,2,백령도,20.3,17.9,19,0.0
17,2019년,2,부산,18.8,19.4,54,0.0
18,2019년,2,서울,21.7,19.1,19,0.0
19,2019년,2,울릉도,17.7,18.8,60,0.0
20,2019년,2,전주,19.2,19.5,49,0.0
21,2019년,2,제주,18.5,19.5,60,0.0
22,2019년,2,청주,20.3,19.7,39,0.0
23,2019년,2,춘천,21.5,20.0,29,0.0
24,2019년,3,강릉,19.3,20.3,59,0.0
25,2019년,3,광주,23.3,22.2,35,0.0
26,2019년,3,대구,24.7,21.7,19,0.0
27,2019년,3,대전,23.3,21.5,28,0.0
28,2019년,3,백령도,15.2,16.7,67,0.0
29,2019년,3,부산,22.9,21.5,32,0.0
30,2019년,3,서울,23.2,20.9,23,0.0
31,2019년,3,울릉도,17.6,17.1,38,0.0
32,2019년,3,전주,22.9,22.4,41,0.0
33,2019년,3,제주,20.5,21.1,54,0.0
34,2019년,3,청주,22.7,20.9,27,0.0
35,2019년,3,춘천,21.9,19.6,22,0.0
36,2019년,4,강릉,19.5,20.5,59,0.0
37,2019년,4,광주,25.2,23.2,28,0.0
38,2019년,4,대구,26.1,23.9,27,0.0
39,2019년,4,대전,24.3,23.4,38,0.0
40,2019년,4,백령도,17.5,18.6,60,0.0
41,2019년,4,부산,22.2,22.7,53,0.0
42,2019년,4,서울,24.3,22.4,28,0.0
43,2019년,4,울릉도,16.8,19.1,79,0.0
44,2019년,4,전주,24.2,23.5,40,0.0
45,2019년,4,제주,22.8,21.4,32,0.0
46,2019년,4,청주,23.4,22.1,33,0.0
47,2019년,4,춘천,22.4,21.2,33,0.0
48,2019년,5,강릉,26.8,23.1,16,0.0
49,2019년,5,광주,25.1,23.1,28,0.0
50,2019년,5,대구,26.2,23.9,26,0.0
51,2019년,5,대전,25.6,24.5,37,0.0
52,2019년,5,백령도,19.1,17.8,29,0.0
53,2019년,5,부산,22.0,22.0,47,0.0
54,2019년,5,서울,25.2,21.9,17,0.0
55,2019년,5,울릉도,20.2,21.9,70,0.0
56,2019년,5,전주,24.8,24.5,45,0.0
57,2019년,5,제주,21.0,21.3,51,0.0
58,2019년,5,청주,25.0,22.9,27,0.0
59,2019년,5,춘천,23.8,22.3,31,0.0
60,2019년,6,강릉,13.7,13.6,39,2.0
61,2019년,6,광주,18.2,17.0,29,0.0
62,2019년,6,대구,19.6,17.9,25,0.0
63,2019년,6,대전,18.2,16.8,27,0.0
64,2019년,6,백령도,12.9,12.8,38,0.0
65,2019년,6,부산,18.7,19.9,63,0.0
66,2019년,6,서울,17.9,15.3,14,0.0
67,2019년,6,울릉도,12.8,13.9,59,0.0
68,2019년,6,전주,17.9,17.3,37,0.0
69,2019년,6,제주,17.5,17.4,43,0.0
70,2019년,6,청주,18.0,16.1,21,0.0
71,2019년,6,춘천,17.8,15.1,13,0.0
72,2019년,7,강릉,21.8,18.7,15,0.0
73,2019년,7,광주,18.9,16.7,19,0.0
74,2019년,7,대구,19.3,17.0,19,0.0
75,2019년,7,대전,20.2,18.4,25,0.0
76,2019년,7,백령도,18.4,17.0,27,0.0
77,2019년,7,부산,19.4,18.8,38,0.0
78,2019년,7,서울,20.0,18.4,27,0.0
79,2019년,7,울릉도,17.1,17.9,56,0.0
80,2019년,7,전주,18.7,17.5,30,0.0
81,2019년,7,제주,17.2,17.8,53,0.0
82,2019년,7,청주,20.2,18.2,23,0.0
83,2019년,7,춘천,20.2,18.3,24,0.0
84,2019년,8,강릉,24.7,21.4,17,0.0
85,2019년,8,광주,20.3,18.1,21,0.0
86,2019년,8,대구,22.4,19.4,17,0.0
87,2019년,8,대전,21.6,19.7,25,0.0
88,2019년,8,백령도,18.9,18.7,43,0.0
89,2019년,8,부산,21.1,19.1,24,0.0
90,2019년,8,서울,19.6,19.0,38,0.0
91,2019년,8,울릉도,19.4,19.1,41,0.0
92,2019년,8,전주,19.7,18.2,27,0.0
93,2019년,8,제주,18.4,18.3,44,0.0
94,2019년,8,청주,20.7,19.3,30,0.0
95,2019년,8,춘천,21.1,19.7,30,0.0
96,2019년,9,강릉,26.2,22.9,18,0.0
97,2019년,9,광주,21.8,19.2,19,0.0
98,2019년,9,대구,22.6,19.6,17,0.0
99,2019년,9,대전,22.3,20.4,26,0.0
100,2019년,9,백령도,15.9,16.5,52,0.0
101,2019년,9,부산,20.2,19.5,37,0.0
102,2019년,9,서울,20.9,18.8,23,0.0
103,2019년,9,울릉도,22.3,20.9,31,0.0
104,2019년,9,전주,21.1,19.9,32,0.0
105,2019년,9,제주,19.3,19.2,44,0.0
106,2019년,9,청주,21.8,19.5,22,0.0
107,2019년,9,춘천,21.8,20.4,31,0.0
108,2019년,10,강릉,26.9,23.6,19,0.0
109,2019년,10,광주,24.1,21.4,21,0.0
110,2019년,10,대구,24.7,22.0,21,0.0
111,2019년,10,대전,23.8,22.1,29,0.0
112,2019년,10,백령도,11.6,15.0,99,0.0
113,2019년,10,부산,21.8,20.5,32,0.0
114,2019년,10,서울,23.5,21.9,30,0.0
115,2019년,10,울릉도,23.8,22.2,30,0.0
116,2019년,10,전주,23.2,21.8,32,0.0
117,2019년,10,제주,19.4,20.1,56,0.0
118,2019년,10,청주,23.0,21.0,26,0.0
119,2019년,10,춘천,22.2,21.1,34,0.0
120,2019년,11,강릉,25.0,24.0,37,0.0
121,2019년,11,광주,24.7,23.2,32,0.0
122,2019년,11,대구,27.0,24.4,24,0.0
123,2019년,11,대전,25.1,23.6,32,0.0
124,2019년,11,백령도,16.7,17.8,60,0.0
125,2019년,11,부산,23.7,21.7,26,0.0
126,2019년,11,서울,24.8,23.3,32,0.0
127,2019년,11,울릉도,21.8,21.1,38,0.0
128,2019년,11,전주,23.2,22.9,44,0.0
129,2019년,11,제주,21.4,21.0,42,0.0
130,2019년,11,청주,25.1,23.0,27,0.0
131,2019년,11,춘천,25.4,24.3,36,0.0
132,2019년,12,강릉,14.9,17.0,76,0.0
133,2019년,12,광주,25.6,24.4,36,0.0
134,2019년,12,대구,23.9,22.3,30,0.0
135,2019년,12,대전,26.2,25.5,41,0.0
136,2019년,12,백령도,19.0,17.0,21,0.0
137,2019년,12,부산,25.4,22.8,23,0.0
138,2019년,12,서울,25.6,23.8,30,0.0
139,2019년,12,울릉도,20.1,21.3,63,0.0
140,2019년,12,전주,24.7,24.5,46,0.0
141,2019년,12,제주,19.1,20.5,66,0.0
142,2019년,12,청주,26.1,23.8,26,0.0
143,2019년,12,춘천,23.7,23.2,42,0.0
144,2019년,13,강릉,18.3,19.8,67,0.0
145,2019년,13,광주,25.7,23.8,29,0.0
146,2019년,13,대구,22.7,21.2,30,0.0
147,2019년,13,대전,26.1,24.2,29,0.0
148,2019년,13,백령도,11.7,15.1,99,3.8
149,2019년,13,부산,20.0,21.4,65,0.0
150,2019년,13,서울,22.2,21.2,35,0.0
151,2019년,13,울릉도,18.6,20.5,73,0.0
152,2019년,13,전주,26.5,24.8,31,0.0
153,2019년,13,제주,22.2,23.5,64,0.0
154,2019년,13,청주,25.1,22.3,21,0.0
155,2019년,13,춘천,20.4,21.0,54,0.0
156,2019년,14,강릉,20.3,21.7,66,0.0
157,2019년,14,광주,25.3,25.9,56,0.0
158,2019년,14,대구,25.7,24.9,40,0.0
159,2019년,14,대전,25.1,25.1,48,0.0
160,2019년,14,백령도,16.4,18.3,73,0.0
161,2019년,14,부산,22.7,24.2,67,0.0
162,2019년,14,서울,24.1,22.4,30,0.0
163,2019년,14,울릉도,19.8,21.7,73,0.0
164,2019년,14,전주,25.5,26.5,60,0.0
165,2019년,14,제주,21.0,23.2,77,0.0
166,2019년,14,청주,23.8,23.8,48,0.0
167,2019년,14,춘천,23.5,22.4,35,0.0
168,2019년,15,강릉,20.6,22.0,66,0.0
169,2019년,15,광주,28.4,27.7,42,0.0
170,2019년,15,대구,27.6,26.0,33,0.0
171,2019년,15,대전,25.6,26.0,53,0.0
172,2019년,15,백령도,16.1,18.9,87,0.0
173,2019년,15,부산,24.1,24.8,57,0.0
174,2019년,15,서울,24.4,23.2,35,0.0
175,2019년,15,울릉도,21.5,23.5,74,0.0
176,2019년,15,전주,26.6,26.4,46,0.0
177,2019년,15,제주,22.1,23.7,69,0.0
178,2019년,15,청주,25.1,25.1,48,0.0
179,2019년,15,춘천,23.8,22.7,35,0.0
180,2019년,16,강릉,20.9,22.5,69,0.0
181,2019년,16,광주,27.7,26.6,38,0.0
182,2019년,16,대구,27.3,25.9,35,0.0
183,2019년,16,대전,27.9,27.2,42,0.0
184,2019년,16,백령도,20.0,20.4,51,0.0
185,2019년,16,부산,24.3,25.7,65,0.0
186,2019년,16,서울,28.3,26.5,32,0.0
187,2019년,16,울릉도,22.1,23.7,69,0.0
188,2019년,16,전주,26.9,27.1,51,0.0
189,2019년,16,제주,26.2,26.3,50,0.0
190,2019년,16,청주,28.3,26.7,33,0.0
191,2019년,16,춘천,26.8,25.9,39,0.0
192,2019년,17,강릉,28.4,27.2,37,0.0
193,2019년,17,광주,26.4,25.7,41,0.0
194,2019년,17,대구,28.0,25.7,27,0.0
195,2019년,17,대전,26.6,26.5,48,0.0
196,2019년,17,백령도,17.8,19.6,72,0.0
197,2019년,17,부산,22.8,24.3,67,0.0
198,2019년,17,서울,27.1,25.5,33,0.0
199,2019년,17,울릉도,24.3,24.7,53,0.0
200,2019년,17,전주,26.9,26.9,49,0.0
201,2019년,17,제주,23.1,23.9,58,0.0
202,2019년,17,청주,27.6,26.7,40,0.0
203,2019년,17,춘천,26.2,25.4,40,0.0
204,2019년,18,강릉,22.3,22.7,52,0.0
205,2019년,18,광주,19.8,22.5,85,40.1
206,2019년,18,대구,18.8,21.2,80,16.0
207,2019년,18,대전,21.8,23.3,67,13.0
208,2019년,18,백령도,23.1,23.4,51,0.0
209,2019년,18,부산,16.9,20.2,95,18.3
210,2019년,18,서울,23.9,23.5,43,0.0
211,2019년,18,울릉도,19.5,21.1,69,0.0
212,2019년,18,전주,21.0,23.1,76,18.3
213,2019년,18,제주,21.2,24.5,94,19.3
214,2019년,18,청주,21.7,22.5,58,4.2
215,2019년,18,춘천,24.9,24.4,43,0.0
216,2019년,19,강릉,21.8,23.1,64,0.0
217,2019년,19,광주,21.4,23.9,82,0.0
218,2019년,19,대구,22.9,24.0,61,0.0
219,2019년,19,대전,24.4,26.1,70,0.0
220,2019년,19,백령도,15.8,19.3,100,10.9
221,2019년,19,부산,21.1,23.0,73,0.0
222,2019년,19,서울,18.7,22.1,96,11.6
223,2019년,19,울릉도,22.9,23.6,56,0.0
224,2019년,19,전주,24.0,26.0,74,0.0
225,2019년,19,제주,24.5,26.5,74,0.0
226,2019년,19,청주,21.5,23.4,73,1.5
227,2019년,19,춘천,21.0,24.0,89,0.7
228,2019년,20,강릉,21.3,19.1,22,0.0
229,2019년,20,광주,17.3,17.7,50,1.6
230,2019년,20,대구,19.7,20.4,55,0.2
231,2019년,20,대전,18.9,19.3,51,6.0
232,2019년,20,백령도,14.7,15.6,56,0.0
233,2019년,20,부산,20.9,23.3,80,1.1
234,2019년,20,서울,18.3,18.1,42,8.7
235,2019년,20,울릉도,17.1,20.4,96,5.0
236,2019년,20,전주,17.1,18.6,67,2.7
237,2019년,20,제주,18.3,19.0,55,0.8
238,2019년,20,청주,19.8,19.7,45,0.3
239,2019년,20,춘천,19.6,19.5,45,0.4
240,2019년,21,강릉,24.2,21.3,19,0.0
241,2019년,21,광주,22.3,21.8,41,0.0
242,2019년,21,대구,22.6,20.4,24,0.0
243,2019년,21,대전,21.9,21.9,47,0.0
244,2019년,21,백령도,20.9,19.7,32,0.0
245,2019년,21,부산,21.5,21.2,43,0.0
246,2019년,21,서울,21.4,20.3,34,0.0
247,2019년,21,울릉도,20.8,20.1,38,0.0
248,2019년,21,전주,21.3,21.7,52,0.0
249,2019년,21,제주,21.2,20.9,43,0.0
250,2019년,21,청주,22.1,21.7,42,0.0
251,2019년,21,춘천,21.0,20.7,43,0.0
252,2019년,22,강릉,27.2,23.4,16,0.0
253,2019년,22,광주,24.3,23.6,40,0.0
254,2019년,22,대구,26.1,22.8,18,0.0
255,2019년,22,대전,24.2,23.3,38,0.0
256,2019년,22,백령도,23.2,21.8,32,0.0
257,2019년,22,부산,23.5,22.4,35,0.0
258,2019년,22,서울,23.9,22.1,28,0.0
259,2019년,22,울릉도,22.6,21.6,36,0.0
260,2019년,22,전주,24.6,23.7,38,0.0
261,2019년,22,제주,27.1,24.8,27,0.0
262,2019년,22,청주,24.9,23.1,29,0.0
263,2019년,22,춘천,23.5,22.0,31,0.0
264,2019년,23,강릉,29.2,25.9,21,0.0
265,2019년,23,광주,25.5,25.4,47,0.0
266,2019년,23,대구,28.4,26.0,27,0.0
267,2019년,23,대전,25.7,25.4,45,0.0
268,2019년,23,백령도,20.4,21.9,67,0.0
269,2019년,23,부산,22.0,22.8,58,0.0
270,2019년,23,서울,25.4,24.5,39,0.0
271,2019년,23,울릉도,26.9,23.9,21,0.0
272,2019년,23,전주,25.5,25.6,50,0.0
273,2019년,23,제주,29.6,27.0,26,0.0
274,2019년,23,청주,25.9,25.2,41,0.0
275,2019년,23,춘천,24.6,23.8,39,0.0
276,2019년,24,강릉,30.9,27.8,23,0.0
277,2019년,24,광주,28.6,27.9,42,0.0
278,2019년,24,대구,30.0,27.8,29,0.0
279,2019년,24,대전,29.5,28.6,40,0.0
280,2019년,24,백령도,20.9,22.4,67,0.0
281,2019년,24,부산,23.0,24.5,67,0.0
282,2019년,24,서울,28.8,27.1,33,0.0
283,2019년,24,울릉도,28.5,26.5,30,0.0
284,2019년,24,전주,29.0,28.7,46,0.0
285,2019년,24,제주,31.4,26.9,15,0.0
286,2019년,24,청주,29.0,27.8,37,0.0
287,2019년,24,춘천,26.3,25.3,38,0.0
288,2019년,25,강릉,32.8,28.5,17,0.0
289,2019년,25,광주,26.6,25.5,37,0.0
290,2019년,25,대구,30.7,27.0,19,0.0
291,2019년,25,대전,28.4,25.5,23,0.0
292,2019년,25,백령도,18.5,20.5,74,0.0
293,2019년,25,부산,28.9,26.9,30,0.0
294,2019년,25,서울,26.3,24.1,27,0.0
295,2019년,25,울릉도,30.1,29.7,46,0.0
296,2019년,25,전주,28.7,26.0,25,0.0
297,2019년,25,제주,24.5,25.5,61,0.0
298,2019년,25,청주,27.4,25.0,26,0.0
299,2019년,25,춘천,26.5,26.4,48,0.0
300,2019년,26,강릉,32.6,29.3,23,0.0
301,2019년,26,광주,27.7,26.2,34,0.0
302,2019년,26,대구,31.1,27.5,20,0.0
303,2019년,26,대전,30.5,27.8,26,0.0
304,2019년,26,백령도,18.3,20.9,84,0.0
305,2019년,26,부산,24.7,25.3,55,0.0
306,2019년,26,서울,29.5,26.6,24,0.0
307,2019년,26,울릉도,30.3,27.4,24,0.0
308,2019년,26,전주,29.5,27.4,30,0.0
309,2019년,26,제주,23.9,24.8,59,0.0
310,2019년,26,청주,30.2,27.1,23,0.0
311,2019년,26,춘천,27.8,26.2,33,0.0
312,2019년,27,강릉,21.6,23.2,69,0.5
313,2019년,27,광주,19.7,23.3,99,25.1
314,2019년,27,대구,19.6,22.5,88,5.5
315,2019년,27,대전,20.2,23.6,96,12.9
316,2019년,27,백령도,14.5,18.0,100,10.5
317,2019년,27,부산,18.7,22.1,96,14.6
318,2019년,27,서울,19.2,22.5,95,5.2
319,2019년,27,울릉도,17.8,20.9,92,2.1
320,2019년,27,전주,21.1,24.8,99,15.9
321,2019년,27,제주,21.4,24.6,92,8.2
322,2019년,27,청주,20.1,23.1,90,12.8
323,2019년,27,춘천,18.0,21.4,96,7.6
324,2019년,28,강릉,23.8,20.9,19,0.0
325,2019년,28,광주,21.7,21.0,38,0.0
326,2019년,28,대구,22.2,20.5,28,0.0
327,2019년,28,대전,20.1,20.9,57,0.0
328,2019년,28,백령도,21.5,20.5,35,0.0
329,2019년,28,부산,21.2,21.7,53,0.0
330,2019년,28,서울,21.7,20.7,35,0.0
331,2019년,28,울릉도,18.6,17.8,35,0.0
332,2019년,28,전주,17.8,19.4,68,0.0
333,2019년,28,제주,20.3,20.9,54,0.0
334,2019년,28,청주,21.1,20.6,40,0.0
335,2019년,28,춘천,21.1,21.0,45,0.0
336,2019년,29,강릉,27.0,22.9,14,0.0
337,2019년,29,광주,25.4,25.5,49,0.0
338,2019년,29,대구,27.5,24.4,21,0.0
339,2019년,29,대전,24.4,24.1,44,0.0
340,2019년,29,백령도,22.0,22.2,50,0.0
341,2019년,29,부산,25.4,23.9,32,0.0
342,2019년,29,서울,24.2,22.9,34,0.0
343,2019년,29,울릉도,22.2,21.6,40,0.0
344,2019년,29,전주,23.6,24.1,54,0.0
345,2019년,29,제주,26.3,25.3,38,0.0
346,2019년,29,청주,24.4,23.7,40,0.0
347,2019년,29,춘천,24.2,22.8,33,0.0
348,2019년,30,강릉,28.9,25.4,19,0.0
349,2019년,30,광주,25.2,24.8,44,0.0
350,2019년,30,대구,27.6,23.9,17,0.0
351,2019년,30,대전,25.2,24.1,36,0.0
352,2019년,30,백령도,21.2,22.5,64,0.0
353,2019년,30,부산,25.6,23.5,27,0.0
354,2019년,30,서울,23.9,22.8,35,0.0
355,2019년,30,울릉도,24.1,24.3,50,0.0
356,2019년,30,전주,25.1,24.6,43,0.0
357,2019년,30,제주,24.4,23.9,42,0.0
358,2019년,30,청주,25.3,24.2,36,0.0
359,2019년,30,춘천,24.0,23.1,38,0.0
360,2019년,31,강릉,24.4,22.9,32,0.0
361,2019년,31,광주,20.4,21.3,59,2.0
362,2019년,31,대구,21.5,21.0,41,1.5
363,2019년,31,대전,22.2,22.4,49,0.0
364,2019년,31,백령도,19.0,20.1,61,0.0
365,2019년,31,부산,19.0,19.7,55,1.1
366,2019년,31,서울,22.7,21.9,38,0.0
367,2019년,31,울릉도,20.4,21.2,57,0.7
368,2019년,31,전주,20.6,21.1,53,0.0
369,2019년,31,제주,18.1,20.1,75,0.6
370,2019년,31,청주,22.8,22.2,40,0.0
371,2019년,31,춘천,23.3,22.8,42,0.0
372,2020년,1,강릉,29.9,28.2,33,0.0
373,2020년,1,광주,24.2,25.8,68,0.0
